"Date","Price","Open","High","Low","Vol.","Change %"
"08/25/2025","3,366.79","3,371.23","3,376.47","3,359.69","","-0.16%"
"08/22/2025","3,372.11","3,338.76","3,379.01","3,321.49","","1.00%"
"08/21/2025","3,338.81","3,347.38","3,353.25","3,325.27","","-0.25%"
"08/20/2025","3,347.11","3,315.46","3,350.50","3,311.46","","0.95%"
"08/19/2025","3,315.46","3,332.38","3,345.46","3,314.88","","-0.45%"
"08/18/2025","3,330.55","3,338.00","3,358.50","3,323.52","","-0.15%"
"08/15/2025","3,335.39","3,336.50","3,349.02","3,332.16","","-0.03%"
"08/14/2025","3,336.50","3,354.73","3,374.97","3,329.85","","-0.54%"
"08/13/2025","3,354.73","3,346.20","3,370.90","3,342.65","","0.25%"
"08/12/2025","3,346.20","3,342.64","3,359.27","3,331.03","","0.04%"
"08/11/2025","3,344.83","3,398.50","3,405.10","3,340.82","","-1.59%"
"08/08/2025","3,398.78","3,397.28","3,408.83","3,379.61","","0.04%"
"08/07/2025","3,397.31","3,366.11","3,402.71","3,364.77","","0.84%"
"08/06/2025","3,369.04","3,379.69","3,385.47","3,358.26","","-0.36%"
"08/05/2025","3,381.27","3,373.38","3,390.62","3,349.89","","0.23%"
"08/04/2025","3,373.37","3,365.10","3,385.56","3,345.00","","0.31%"
"08/01/2025","3,362.88","3,290.83","3,363.55","3,281.55","","2.21%"
"07/31/2025","3,290.32","3,275.91","3,314.98","3,273.77","","0.46%"
"07/30/2025","3,275.25","3,324.01","3,334.21","3,268.15","","-1.55%"
"07/29/2025","3,326.84","3,316.54","3,334.21","3,307.95","","0.37%"
"07/28/2025","3,314.64","3,335.00","3,345.56","3,301.66","","-0.68%"
"07/25/2025","3,337.18","3,369.29","3,373.73","3,325.05","","-0.92%"
"07/24/2025","3,368.15","3,387.79","3,393.47","3,351.40","","-0.58%"
"07/23/2025","3,387.78","3,431.26","3,439.09","3,381.45","","-1.27%"
"07/22/2025","3,431.50","3,395.81","3,433.56","3,383.29","","1.05%"
"07/21/2025","3,395.80","3,348.62","3,401.85","3,344.48","","1.36%"
"07/18/2025","3,350.40","3,338.76","3,361.41","3,331.75","","0.34%"
"07/17/2025","3,338.95","3,346.59","3,352.50","3,309.90","","-0.23%"
"07/16/2025","3,346.58","3,322.63","3,377.50","3,319.69","","0.72%"
"07/15/2025","3,322.63","3,343.80","3,366.58","3,320.27","","-0.63%"
"07/14/2025","3,343.80","3,355.91","3,374.94","3,341.10","","-0.36%"
"07/11/2025","3,355.91","3,325.63","3,368.89","3,321.37","","0.99%"
"07/10/2025","3,323.07","3,313.70","3,330.47","3,310.23","","0.28%"
"07/09/2025","3,313.72","3,298.73","3,317.05","3,282.80","","0.39%"
"07/08/2025","3,300.70","3,335.99","3,345.94","3,287.17","","-1.05%"
"07/07/2025","3,335.61","3,335.95","3,343.29","3,296.41","","-0.03%"
"07/04/2025","3,336.64","3,326.44","3,345.15","3,323.59","","0.30%"
"07/03/2025","3,326.57","3,357.36","3,365.81","3,311.70","","-0.92%"
"07/02/2025","3,357.36","3,338.36","3,360.08","3,327.60","","0.54%"
"07/01/2025","3,339.21","3,302.87","3,358.09","3,301.52","","1.08%"
"06/30/2025","3,303.69","3,272.65","3,309.58","3,247.86","","0.90%"
"06/27/2025","3,274.25","3,328.06","3,328.88","3,255.72","","-1.62%"
"06/26/2025","3,328.06","3,332.47","3,350.47","3,310.01","","-0.13%"
"06/25/2025","3,332.46","3,324.20","3,337.23","3,312.00","","0.25%"
"06/24/2025","3,324.20","3,368.79","3,371.01","3,295.38","","-1.33%"
"06/23/2025","3,368.88","3,367.17","3,399.25","3,347.25","","0.02%"
"06/20/2025","3,368.23","3,370.82","3,374.63","3,340.38","","-0.07%"
"06/19/2025","3,370.75","3,369.08","3,388.07","3,347.59","","0.05%"
"06/18/2025","3,369.09","3,390.40","3,400.05","3,362.54","","-0.58%"
"06/17/2025","3,388.74","3,383.20","3,403.39","3,366.25","","0.16%"
"06/16/2025","3,383.20","3,431.54","3,451.62","3,382.40","","-1.44%"
"06/13/2025","3,432.64","3,385.30","3,447.02","3,379.79","","1.40%"
"06/12/2025","3,385.29","3,357.24","3,399.16","3,338.64","","0.94%"
